"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
0,0,0,0,0,30,2.89,4,0.7,1
1,0,1,1,1,24,4,0,3,0
1,0,0,0,1,28,3.582,0,2.7,0
0,1,0,0,1,25,4,11,3.7,0
1,0,0,0,0,26,3,11,1,1
1,1,0,0,1,21,3.342,0,0,1
1,0,0,0,0,28,4,7,1,1
1,1,1,0,1,26,4,0,3.3,0
0,1,0,0,0,22,3.413,3,2,0
1,0,0,0,0,25,3.313,3,2,0
1,1,0,0,0,25,3.778,0,2.7,0
1,1,0,0,0,27,4,0,4,0
0,0,0,0,1,29,3.235,0,2.7,0
1,0,0,1,1,30,3.82,3,3,0
1,1,0,0,0,27,4,27,4,0
1,0,0,0,0,31,3.2,8,1,1
0,1,0,0,1,24,3.763,0,2,0
1,1,0,0,1,30,4,12,1,1
0,0,1,0,1,30,3.279,0,1,1
1,1,0,0,0,27,3.65,0,2.7,0
1,0,0,1,0,24,3.892,6,0,1
0,0,0,0,1,23,3.444,0,2,0
1,1,0,1,1,26,4,0,4,0
1,0,0,0,0,30,3.337,0,2.3,0
1,1,0,0,1,24,4,0,4,0
1,0,0,0,1,27,2.802,0,1.7,0
1,1,1,1,0,26,4,6,3.7,0
1,1,0,0,1,26,3.608,0,4,0
1,1,0,0,1,31,4,12,3.3,0
1,0,0,0,1,25,3.929,0,2.3,0
1,0,0,1,1,23,3.76,4,3,0
0,0,0,0,0,31,3.979,0,3.3,0
1,0,1,0,1,22,3.204,0,2.7,0
0,0,0,0,0,23,3.089,0,3.3,0
0,0,0,0,1,24,3,0,0,1
1,1,1,0,1,26,4,3,4,0
1,0,0,0,0,28,3.952,6,4,0
1,1,0,0,0,23,4,12,3.7,0
1,0,0,0,0,23,3.882,0,3.3,0
1,0,0,0,1,25,3.268,0,0,1
1,0,0,0,1,26,3.426,0,3,0
0,0,0,0,0,24,4,6,3,0
1,1,0,1,1,23,4,4,3,0
0,1,1,1,1,19,3.429,0,1.7,0
1,0,0,0,1,29,4,5,4,0
1,0,1,0,0,27,4,3,4,0
1,1,1,1,1,29,4,23,2.3,0
1,0,0,0,1,26,4,11,3.7,0
1,0,1,0,0,25,3.776,0,2.3,0
1,0,0,1,1,27,3.696,0,2.7,0
1,0,0,0,1,29,3.357,0,1.7,0
1,0,0,0,0,30,3.446,0,1,1
0,1,1,0,0,25,4,28,4,0
1,0,0,0,0,28,3.804,19,2.3,0
0,0,0,0,1,26,3.367,0,0,1
0,1,0,0,1,24,3.024,0,2.7,0
0,0,1,0,1,22,3.537,0,0,1
0,1,0,0,0,26,3.658,6,3.3,0
0,0,1,0,1,27,3.06,0,1.3,1
0,0,0,0,0,28,3.33,0,0.7,1
1,0,0,0,0,24,3.38,0,3,0
1,0,1,0,1,24,3.12,0,1,1
0,0,1,0,1,24,3.33,0,0,1
1,0,0,0,1,23,3.4,0,1,1
1,0,1,0,1,29,2.933,0,0,1
1,0,0,0,1,19,3.484,0,2.7,0
1,1,0,0,0,25,3.667,0,3,0
1,1,0,0,1,27,3.905,30,2.3,0
0,0,0,0,1,23,3.119,0,0,1
1,0,0,0,1,29,3.19,0,1,1
0,0,0,1,0,26,3.649,19,2,0
0,1,0,1,1,27,4,12,3.7,0
0,0,0,0,1,23,3.629,0,0,1
1,0,1,0,1,32,4,25,4,0
1,0,0,0,0,26,3.395,0,3,0
0,1,0,0,0,32,4,8,3.7,0
1,0,0,0,1,23,3.868,0,4,0
1,1,0,0,1,25,3.6,4,2,0
1,0,0,0,1,22,3.216,0,1.7,0
1,0,0,0,0,25,4,0,4,0
0,0,1,1,1,27,2.89,3,0.7,1
1,0,1,0,0,25,2.872,0,2,0
0,1,1,1,1,26,3.706,0,4,0
1,0,0,0,0,24,3.53,10,0,1
0,1,0,0,1,29,4,11,4,0
1,1,0,1,1,30,4,15,4,0
1,0,0,0,0,29,3.35,5,3.3,0
1,0,1,1,1,23,2.675,4,1.7,0
1,0,0,0,1,28,4,3,3,0
0,1,0,0,0,28,3.725,12,2,0
0,1,0,0,0,23,3.4,0,1.7,0
1,1,0,0,0,33,4,0,4,0
1,0,1,1,1,25,3.963,12,2,0
1,1,0,1,1,25,4,0,1.7,0
1,0,1,0,0,29,3.958,3,3,0
1,1,0,0,0,28,4,15,2,0
1,0,0,0,1,27,3.034,0,1.7,0
0,1,0,0,0,28,3.778,0,2,0
0,0,0,0,0,29,3.163,0,2.3,0
1,0,1,0,1,28,4,20,3.3,0
0,0,0,0,0,25,3.131,0,0,1
1,1,0,0,0,27,3.338,29,1,1
1,1,0,0,0,29,3.364,0,3,0
0,0,0,0,1,24,3.111,0,0,1
1,1,0,0,1,29,3.74,16,2.3,0
0,0,0,0,0,24,3.793,0,4,0
1,1,1,0,1,22,3.486,0,2,0
